Name,AthleteUrl,Gender,Height,Active,Participations,Age,Country
Ram LEVIN,https://ifsc.results.info/#/athlete/3991,Men,171,2012,65,25,ISR
Filip SCHENK,https://ifsc.results.info/#/athlete/912,Men,170,2014,93,23,ITA
Michael PICCOLRUAZ,https://ifsc.results.info/#/athlete/857,Men,178,2009,136,28,ITA
Yoshiyuki OGATA,https://ifsc.results.info/#/athlete/2309,Men,172,2014,136,25,JPN
Meichi NARASAKI,https://ifsc.results.info/#/athlete/2307,Men,188,2013,77,24,JPN
Ritsu KAYOTANI,https://ifsc.results.info/#/athlete/13987,Men,163,2022,10,17,JPN
Tomoaki TAKATA,https://ifsc.results.info/#/athlete/2291,Men,175,2012,64,28,JPN
Rei SUGIMOTO,https://ifsc.results.info/#/athlete/2257,Men,172,2005,82,32,JPN
Katsura KONISHI,https://ifsc.results.info/#/athlete/2335,Men,-,2015,18,22,JPN
Junta SEKIGUCHI,https://ifsc.results.info/#/athlete/11846,Men,168,2019,14,19,JPN
Yuji INOUE,https://ifsc.results.info/#/athlete/2348,Men,-,2016,40,28,JPN
Tomoa NARASAKI,https://ifsc.results.info/#/athlete/2276,Men,170,2011,114,27,JPN
Kokoro FUJII,https://ifsc.results.info/#/athlete/2272,Men,176,2010,141,31,JPN
Daiki SANO,https://ifsc.results.info/#/athlete/14314,Men,172,2023,6,20,JPN
Sorato ANRAKU,https://ifsc.results.info/#/athlete/13040,Men,168,2021,20,17,JPN
Sungsu LEE,https://ifsc.results.info/#/athlete/13147,Men,170,2015,18,24,KOR
Shinyeong YUN,https://ifsc.results.info/#/athlete/2061,Men,166,2014,13,28,KOR
Dohyun LEE,https://ifsc.results.info/#/athlete/2101,Men,174,2016,50,21,KOR
Jongwon CHON,https://ifsc.results.info/#/athlete/2052,Men,177,2012,109,27,KOR
Edvards GRUZITIS,https://ifsc.results.info/#/athlete/4168,Men,181,2018,53,20,LAT
Nathan MARTIN,https://ifsc.results.info/#/athlete/531,Men,-,2015,58,22,LUX
Wan Tong LOK,https://ifsc.results.info/#/athlete/4437,Men,-,2015,26,31,MAC
Thilo Jeldrik SCHRÖTER,https://ifsc.results.info/#/athlete/3061,Men,175,2010,45,28,NOR
Diego LEQUERICA BUSCAGLIA,https://ifsc.results.info/#/athlete/4397,Men,-,2014,24,28,PER
John Joseph VELORIA,https://ifsc.results.info/#/athlete/3834,Men,158,2018,11,31,PHI
Iman MORA,https://ifsc.results.info/#/athlete/3830,Men,171,2018,12,35,PHI
Jakub ZIETEK,https://ifsc.results.info/#/athlete/2894,Men,175,2017,54,21,POL
Chua DENNIS,https://ifsc.results.info/#/athlete/3644,Men,-,2014,25,32,SGP
Luke GOH WEN BIN,https://ifsc.results.info/#/athlete/3665,Men,-,2016,36,21,SGP
Zan LOVENJAK SUDAR,https://ifsc.results.info/#/athlete/1149,Men,179,2013,54,26,SLO
Luka POTOCAR,https://ifsc.results.info/#/athlete/1170,Men,177,2016,89,22,SLO
Jernej KRUDER,https://ifsc.results.info/#/athlete/1124,Men,179,2004,195,33,SLO
Anze PEHARC,https://ifsc.results.info/#/athlete/1138,Men,177,2011,106,26,SLO
Sascha LEHMANN,https://ifsc.results.info/#/athlete/4299,Men,164,2012,129,25,SUI
Nils FAVRE,https://ifsc.results.info/#/athlete/4306,Men,176,2016,35,32,SUI
Hannes PUMAN,https://ifsc.results.info/#/athlete/2667,Men,177,2011,136,26,SWE
Ardch INTRACHUPONGSE,https://ifsc.results.info/#/athlete/13627,Men,-,2022,17,19,THA
Ying-chieh WEN,https://ifsc.results.info/#/athlete/10868,Men,-,2012,12,28,TPE
Hugo HOYER,https://ifsc.results.info/#/athlete/13030,Men,181,2021,11,16,USA
